document_id,case_id,document_type,title,content,tags,created_at,validation_status
DOC_RCA_SYN_018,RCA_SYN_018,RCA_CASE,Etch CD-bias pressure excursion,Synthetic RCA case. Observed symptom: post-etch CD bias shifts while chamber pressure oscillates and RF signals remain stable. Root cause: The pressure-control valve response became unstable. Corrective actions: service the pressure valve; verify pressure response; run CD qualification. Engineering boundary: Use pressure dynamics to separate valve instability from chemistry drift,Etch;CD bias;pressure,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_019,RCA_SYN_019,RCA_CASE,Etch residue after early endpoint,"Synthetic RCA case. Observed symptom: residue rises when optical endpoint terminates early despite normal RF and pressure. Root cause: Endpoint-window coating biased the optical termination signal. Corrective actions: clean the endpoint window; verify optical baseline; run residue monitors. Engineering boundary: Manual time extension is temporary containment, not root-cause closure",Etch;residue;endpoint,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_020,RCA_SYN_020,RCA_CASE,Etch selectivity loss,Synthetic RCA case. Observed symptom: selectivity drops while one chemistry-ratio trace drifts and chamber pressure is normal. Root cause: A reactant MFC calibration error shifted the chemistry ratio. Corrective actions: calibrate the reactant MFC; verify gas ratio; qualify selectivity. Engineering boundary: Chemistry recipe changes require process-engineer approval,Etch;selectivity;MFC,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_021,RCA_SYN_021,RCA_CASE,Etch microtrenching increase,Synthetic RCA case. Observed symptom: microtrenching rises with elevated bias-RF power while average etch rate stays near target. Root cause: Bias-RF calibration was high and increased directional ion energy. Corrective actions: calibrate bias RF; verify profile monitors; qualify trench shape. Engineering boundary: Profile evidence is required before any bias recipe adjustment,Etch;microtrenching;bias RF,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_022,RCA_SYN_022,RCA_CASE,Ion implant dose-low excursion,Synthetic RCA case. Observed symptom: sheet resistance shifts high while beam-current dose integration trends low. Root cause: Beam-current calibration understated the delivered dose. Corrective actions: calibrate beam current; verify dosimetry; run sheet-resistance monitors. Engineering boundary: Do not rework product wafers without device and process review,Implant;dose;sheet resistance,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_023,RCA_SYN_023,RCA_CASE,Ion implant energy-shift signature,Synthetic RCA case. Observed symptom: junction-depth monitors shift with high-voltage ripple while integrated dose remains normal. Root cause: Acceleration high-voltage ripple shifted the implant energy distribution. Corrective actions: service the high-voltage supply; verify energy calibration; qualify junction depth. Engineering boundary: Dose evidence cannot close an energy-distribution question,Implant;energy;high voltage,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_024,RCA_SYN_024,RCA_CASE,Ion implant angle asymmetry,Synthetic RCA case. Observed symptom: left-right device asymmetry appears with normal dose and energy monitors. Root cause: Wafer tilt calibration introduced an implant-angle offset. Corrective actions: calibrate wafer tilt; inspect chuck alignment; run angle-sensitive monitors. Engineering boundary: Confirm spatial signature before changing implant angle settings,Implant;angle;asymmetry,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_025,RCA_SYN_025,RCA_CASE,Implanter endstation particle event,Synthetic RCA case. Observed symptom: backside and edge particles rise on one endstation with normal beam parameters. Root cause: Worn endstation clamp pads shed particles during wafer handling. Corrective actions: replace clamp pads; clean the endstation; verify particle monitors. Engineering boundary: Particle source attribution requires endstation-specific exposure evidence,Implant;particle;endstation,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_026,RCA_SYN_026,RCA_CASE,Anneal sheet-resistance high,Synthetic RCA case. Observed symptom: sheet resistance trends high by furnace run while implant dose monitors remain normal. Root cause: Furnace-zone temperature calibration drifted below the activation target. Corrective actions: calibrate furnace zones; verify thermal profile; run activation monitors. Engineering boundary: Separate implant dose from activation using pre-anneal evidence,Diffusion;anneal;sheet resistance,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_027,RCA_SYN_027,RCA_CASE,Furnace oxygen-precipitate increase,Synthetic RCA case. Observed symptom: oxygen-related defect monitors rise after a furnace idle period with normal temperature traces. Root cause: A small process-tube leak admitted oxygen during anneal. Corrective actions: perform leak check; repair tube seals; qualify oxygen monitors. Engineering boundary: Temperature-normal evidence does not exclude atmosphere leakage,Diffusion;oxygen;leak,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_028,RCA_SYN_028,RCA_CASE,Oxidation edge-thickness shift,Synthetic RCA case. Observed symptom: oxide thickness is edge-high across boat positions while average gas flow remains normal. Root cause: Gas-distribution hardware produced a radial reactant imbalance. Corrective actions: inspect gas injectors; verify flow distribution; qualify oxide maps. Engineering boundary: Use spatial maps rather than average thickness to close distribution causes,Diffusion;oxidation;uniformity,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_029,RCA_SYN_029,RCA_CASE,Furnace boat-slot periodic defects,Synthetic RCA case. Observed symptom: defect counts repeat at fixed boat-slot intervals with stable temperature and atmosphere signals. Root cause: Localized quartz-boat contamination transferred particles to repeating slots. Corrective actions: replace or clean the quartz boat; map slot history; run particle qualification. Engineering boundary: The repeating slot signature is required for boat attribution,Diffusion;boat slot;particle,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_030,RCA_SYN_030,RCA_CASE,PVD metal sheet-resistance drift,Synthetic RCA case. Observed symptom: sheet resistance rises gradually with target age while preclean monitors remain normal. Root cause: Target erosion changed deposition-rate uniformity near end of life. Corrective actions: replace the target; verify target-life counters; qualify thickness and resistance. Engineering boundary: Confirm thickness contribution before assigning electrical loss to PVD,Metal;PVD;target life;sheet resistance,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_031,RCA_SYN_031,RCA_CASE,PVD interface-void increase,Synthetic RCA case. Observed symptom: interface voids increase while deposition thickness is normal and preclean RF trends low. Root cause: Preclean RF delivery was insufficient to remove native oxide. Corrective actions: repair preclean RF delivery; verify surface-clean monitor; qualify interface integrity. Engineering boundary: Void morphology and preclean evidence are required before changing deposition,Metal;PVD;void;preclean,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_032,RCA_SYN_032,RCA_CASE,PVD chamber particle excursion,Synthetic RCA case. Observed symptom: particle counts rise after extended shield life and cluster on one deposition chamber. Root cause: Deposited film flaked from an over-life chamber shield. Corrective actions: replace chamber shields; clean the chamber; verify particle qualification. Engineering boundary: Shield attribution requires chamber and maintenance-life correlation,Metal;PVD;particle;shield,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_033,RCA_SYN_033,RCA_CASE,PVD left-right thickness asymmetry,Synthetic RCA case. Observed symptom: left-right thickness asymmetry increases while average deposition rate remains stable. Root cause: Magnet-scan calibration shifted the plasma distribution. Corrective actions: calibrate magnet scan; verify wafer maps; run uniformity qualification. Engineering boundary: Average thickness alone cannot close a spatial-distribution question,Metal;PVD;uniformity;magnet,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_034,RCA_SYN_034,RCA_CASE,Wet-clean watermark excursion,Synthetic RCA case. Observed symptom: watermarks rise after spin drying while incoming surface inspection is normal. Root cause: IPA drying flow was below the stable displacement range. Corrective actions: restore IPA flow; verify drying profile; inspect monitor wafers. Engineering boundary: Do not change upstream clean chemistry when defects appear only after drying,Wet Clean;watermark;IPA dry,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_035,RCA_SYN_035,RCA_CASE,Wet-clean metallic contamination,Synthetic RCA case. Observed symptom: surface-metal monitors trend high late in bath life with normal incoming wafers. Root cause: The chemical bath exceeded its contamination-control lifetime. Corrective actions: replace the bath; review bath-life limits; qualify surface metals. Engineering boundary: Production release requires post-change contamination monitors,Wet Clean;metal contamination;bath life,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_036,RCA_SYN_036,RCA_CASE,Wet-clean oxide-loss excursion,Synthetic RCA case. Observed symptom: oxide loss increases with stable process time but abnormal bath-concentration checks. Root cause: Dilute-HF concentration was above its qualified range. Corrective actions: restore HF concentration; calibrate concentration measurement; qualify oxide loss. Engineering boundary: Any chemistry setpoint change requires process-engineer approval,Wet Clean;oxide loss;HF,2026-08-08T00:00:00+08:00,CONFIRMED
SOP_SYN_CMP_001,,SOP,SOP: Cu CMP removal-rate excursion containment,"Synthetic SOP. Trigger and objective: slurry, endpoint, or removal-rate signals indicate a multi-wafer Cu CMP excursion. Procedure: place source and exposed lots on hold; verify slurry and endpoint traces; inspect delivery hardware; run qualification wafers before release. Safety and decision boundary: This SOP contains and verifies an excursion; it does not by itself confirm a root cause",SOP;Cu CMP;containment,2026-08-08T00:00:00+08:00,CONFIRMED
SOP_SYN_CMP_002,,SOP,SOP: CMP scratch triage,Synthetic SOP. Trigger and objective: scratch defects require separation of repeatable geometry from isolated random events. Procedure: review wafer maps and scratch orientation; compare adjacent wafers; inspect carrier and retaining ring; check handling history. Safety and decision boundary: An isolated scratch with normal adjacent wafers must remain inconclusive unless physical evidence exists,SOP;Cu CMP;scratch,2026-08-08T00:00:00+08:00,CONFIRMED
SOP_SYN_CVD_001,,SOP,SOP: CVD chamber excursion verification,"Synthetic SOP. Trigger and objective: a chamber-specific thickness, rate, stress, or particle shift is detected. Procedure: hold chamber-exposed lots; compare pre- and post-maintenance history; verify gas, RF, and temperature traces; run film qualification. Safety and decision boundary: Select verification signals according to the observed film property",SOP;CVD;chamber excursion,2026-08-08T00:00:00+08:00,CONFIRMED
SOP_SYN_LITHO_001,,SOP,SOP: Lithography pattern excursion triage,"Synthetic SOP. Trigger and objective: CD, overlay, missing-pattern, bridge, or resist-edge defects exceed control limits. Procedure: separate scanner and track signatures; review focus, dose, bake, and dispense traces; inspect wafer maps; run layer-specific monitors. Safety and decision boundary: Do not compensate one subsystem before the failing signature is localized",SOP;Lithography;triage,2026-08-08T00:00:00+08:00,CONFIRMED
SOP_SYN_ETCH_001,,SOP,SOP: Plasma etch excursion containment,"Synthetic SOP. Trigger and objective: etch rate, CD, profile, selectivity, endpoint, or residue indicates an excursion. Procedure: hold affected chamber lots; review RF, pressure, gas, and endpoint traces; inspect chamber maintenance state; run profile and rate monitors. Safety and decision boundary: Containment cannot authorize recipe changes",SOP;Etch;containment,2026-08-08T00:00:00+08:00,CONFIRMED
SOP_SYN_IMPLANT_001,,SOP,"SOP: Implant dose, energy, and angle verification","Synthetic SOP. Trigger and objective: electrical or monitor data suggests an implant dose, energy, angle, or particle problem. Procedure: separate dose, energy, and spatial signatures; review beam and high-voltage traces; verify endstation history; run appropriate monitor wafers. Safety and decision boundary: One implant dimension cannot close another dimension's question",SOP;Implant;verification,2026-08-08T00:00:00+08:00,CONFIRMED
SOP_SYN_DIFF_001,,SOP,SOP: Furnace thermal excursion response,"Synthetic SOP. Trigger and objective: thermal, atmosphere, uniformity, or boat-slot monitors indicate a furnace excursion. Procedure: hold furnace-exposed lots; review zone temperature and atmosphere; map boat-slot effects; run thermal qualification. Safety and decision boundary: Use spatial and slot evidence before assigning furnace hardware",SOP;Diffusion;furnace,2026-08-08T00:00:00+08:00,CONFIRMED
SOP_SYN_PVD_001,,SOP,SOP: PVD chamber and target excursion,"Synthetic SOP. Trigger and objective: PVD thickness, resistance, void, uniformity, or particle monitors shift. Procedure: review target and shield life; verify preclean and deposition signals; inspect wafer maps; run thickness and particle qualification. Safety and decision boundary: Separate preclean, target, and chamber-shield mechanisms",SOP;PVD;chamber,2026-08-08T00:00:00+08:00,CONFIRMED
SOP_SYN_WET_001,,SOP,SOP: Wet-clean chemistry and dry response,"Synthetic SOP. Trigger and objective: watermark, metallic contamination, or oxide-loss monitors exceed limits. Procedure: identify the failing sub-step; review bath life and concentration; verify drying flow; run surface qualification. Safety and decision boundary: Chemistry changes require process-owner approval",SOP;Wet Clean;chemistry,2026-08-08T00:00:00+08:00,CONFIRMED
SOP_SYN_CROSS_001,,SOP,SOP: Impact-lot scope determination,"Synthetic SOP. Trigger and objective: an equipment, chamber, recipe, or material excursion requires bounded impact-lot identification. Procedure: define the excursion time window; resolve process-history exposure; exclude lots outside equipment and chamber scope; record source and impacted lots separately. Safety and decision boundary: Impact scope is exposure evidence, not proof of the root cause",SOP;impact lot;MES,2026-08-08T00:00:00+08:00,CONFIRMED
SOP_SYN_METROLOGY_001,,SOP,SOP: Metrology result verification,Synthetic SOP. Trigger and objective: a measurement shift may reflect process change or measurement-system error. Procedure: check tool health and calibration; review repeatability; cross-check a reference wafer; separate measurement and process hypotheses. Safety and decision boundary: Unverified measurements cannot confirm a process root cause,SOP;metrology;MSA,2026-08-08T00:00:00+08:00,CONFIRMED
SOP_SYN_FDC_001,,SOP,SOP: FDC sensor-quality review,Synthetic SOP. Trigger and objective: an FDC feature is abnormal but sensor quality or context may be uncertain. Procedure: verify sensor status; compare raw and derived signals; check context and recipe alignment; mark unavailable evidence explicitly. Safety and decision boundary: A bad sensor cannot be used as supporting process evidence,SOP;FDC;sensor quality,2026-08-08T00:00:00+08:00,CONFIRMED
NOTE_SYN_CMP_001,,ENGINEERING_NOTE,Engineering note: CMP consumable-life signatures,Synthetic engineering note. Observation: pad and retaining-ring aging can create distinct spatial removal and scratch patterns. Engineering interpretation: Center-edge maps and repeatable scratch geometry help separate consumable mechanisms from slurry delivery. Boundary: The note is background guidance and cannot replace lot-specific evidence,Engineering Note;Cu CMP;consumable,2026-08-08T00:00:00+08:00,CONFIRMED
NOTE_SYN_CMP_002,,ENGINEERING_NOTE,Engineering note: CMP endpoint-sensor interpretation,"Synthetic engineering note. Observation: endpoint extension may result from true removal loss or optical-signal degradation. Engineering interpretation: Compare endpoint, removal rate, slurry flow, and sensor health before assigning mechanism. Boundary: Endpoint duration alone is not root-cause evidence",Engineering Note;Cu CMP;endpoint,2026-08-08T00:00:00+08:00,CONFIRMED
NOTE_SYN_CVD_001,,ENGINEERING_NOTE,Engineering note: CVD seasoning behavior,Synthetic engineering note. Observation: post-clean chambers may exhibit transient rate and particle behavior before stabilization. Engineering interpretation: Separate expected seasoning transients from persistent chamber faults using wafer sequence. Boundary: Local process specifications determine the acceptable seasoning window,Engineering Note;CVD;seasoning,2026-08-08T00:00:00+08:00,CONFIRMED
NOTE_SYN_LITHO_001,,ENGINEERING_NOTE,Engineering note: Lithography subsystem signatures,"Synthetic engineering note. Observation: focus, dose, bake, develop, and edge-bead failures create different map and profile signatures. Engineering interpretation: Use defect orientation and monitor separation to localize scanner versus track mechanisms. Boundary: The signature narrows investigation but does not confirm hardware failure",Engineering Note;Lithography;signature,2026-08-08T00:00:00+08:00,CONFIRMED
NOTE_SYN_ETCH_001,,ENGINEERING_NOTE,Engineering note: Etch profile evidence,"Synthetic engineering note. Observation: etch rate, profile, selectivity, residue, and endpoint respond to different process dimensions. Engineering interpretation: RF, pressure, chemistry, and endpoint evidence should be mapped to the property they can explain. Boundary: Cross-property correlation is not automatically causal",Engineering Note;Etch;profile,2026-08-08T00:00:00+08:00,CONFIRMED
NOTE_SYN_IMPLANT_001,,ENGINEERING_NOTE,Engineering note: Implant dimension separation,"Synthetic engineering note. Observation: dose, energy, angle, and endstation contamination require different monitor evidence. Engineering interpretation: Electrical and spatial signatures should be mapped to the implant dimension being tested. Boundary: A normal dose monitor cannot rule out energy or angle faults",Engineering Note;Implant;evidence mapping,2026-08-08T00:00:00+08:00,CONFIRMED
NOTE_SYN_DIFF_001,,ENGINEERING_NOTE,Engineering note: Furnace spatial signatures,"Synthetic engineering note. Observation: zone, radial, and boat-slot patterns provide different clues for thermal and atmosphere mechanisms. Engineering interpretation: Combine temperature, atmosphere, wafer map, and slot history before assigning hardware. Boundary: Average values can hide spatial excursions",Engineering Note;Diffusion;spatial signature,2026-08-08T00:00:00+08:00,CONFIRMED
NOTE_SYN_PVD_001,,ENGINEERING_NOTE,Engineering note: PVD maintenance-life signatures,"Synthetic engineering note. Observation: target, shield, magnet, and preclean aging affect different electrical, spatial, and particle outputs. Engineering interpretation: Maintenance counters are useful context only when they align with physical signals. Boundary: Counter expiry alone is not proof of causation",Engineering Note;PVD;maintenance,2026-08-08T00:00:00+08:00,CONFIRMED
NOTE_SYN_WET_001,,ENGINEERING_NOTE,Engineering note: Wet-clean bath and dry separation,"Synthetic engineering note. Observation: metal contamination, oxide loss, and watermarks localize to different bath or dry dimensions. Engineering interpretation: Incoming inspection and sub-step localization prevent unrelated chemistry changes. Boundary: Concentration and bath-life evidence must use qualified measurement methods",Engineering Note;Wet Clean;localization,2026-08-08T00:00:00+08:00,CONFIRMED
NOTE_SYN_CROSS_001,,ENGINEERING_NOTE,Engineering note: Cross-module scratch localization,"Synthetic engineering note. Observation: scratch orientation, repeatability, and first-detection operation help localize process versus handling sources. Engineering interpretation: First detection is not always first creation; compare upstream inspections and wafer maps. Boundary: A visual pattern narrows hypotheses but needs exposure evidence",Engineering Note;scratch;cross module,2026-08-08T00:00:00+08:00,CONFIRMED
NOTE_SYN_METROLOGY_001,,ENGINEERING_NOTE,Engineering note: Measurement-system boundaries,"Synthetic engineering note. Observation: apparent process shifts can originate from calibration, repeatability, sampling, or real process change. Engineering interpretation: Reference wafers and repeat measurements separate measurement-system hypotheses. Boundary: Unqualified data must be marked unavailable rather than treated as normal",Engineering Note;metrology;data quality,2026-08-08T00:00:00+08:00,CONFIRMED
NOTE_SYN_KNOWLEDGE_001,,ENGINEERING_NOTE,Engineering note: Historical-case use boundaries,Synthetic engineering note. Observation: historical similarity can propose hypotheses but cannot confirm the current incident. Engineering interpretation: Current-lot evidence must validate any mechanism suggested by retrieved cases. Boundary: Knowledge matches are supporting evidence only,Engineering Note;RAG;evidence boundary,2026-08-08T00:00:00+08:00,CONFIRMED
DOC_RCA_SYN_DRAFT_001,RCA_SYN_DRAFT_001,RCA_CASE,Draft RCA sentinel with highly searchable CMP terms,Synthetic RCA case. Observed symptom: slurry scratch endpoint Cu residue removal rate high-confidence draft sentinel. Root cause: Unapproved synthetic draft root cause. Corrective actions: do not use this draft. Engineering boundary: This asset exists only to test the approval leakage gate,DRAFT;Cu CMP;slurry,2026-08-08T00:00:00+08:00,DRAFT
SOP_SYN_DRAFT_001,,SOP,Draft SOP leakage sentinel,Synthetic SOP. Trigger and objective: highly searchable etch endpoint residue procedure draft. Procedure: do not use this draft. Safety and decision boundary: This asset exists only to test the approval leakage gate,DRAFT;Etch,2026-08-08T00:00:00+08:00,DRAFT
NOTE_SYN_DRAFT_001,,ENGINEERING_NOTE,Draft Engineering Note leakage sentinel,Synthetic engineering note. Observation: highly searchable focus CD overlay draft note. Engineering interpretation: Do not use this unapproved interpretation. Boundary: This asset exists only to test the approval leakage gate,DRAFT;Lithography,2026-08-08T00:00:00+08:00,DRAFT
