lot_id,wafer_id,operation_no,measurement_stage,metric_name,measured_value,unit,spec_low,spec_high,pass_fail,metrology_tool,measured_at
LOT_V2_11_IMP_01,LOT_V2_11_IMP_01_W01,9000,POST_PROCESS,leakage fail rate,0.0,percent,-10.0,10.0,PASS,WAT_CELL_08,2026-06-12T20:00:00+00:00
LOT_V2_11_IMP_02,LOT_V2_11_IMP_02_W01,9000,POST_PROCESS,leakage fail rate,0.0,percent,-10.0,10.0,PASS,WAT_CELL_08,2026-06-12T23:00:00+00:00
LOT_V2_11_CTRL_01,LOT_V2_11_CTRL_01_W01,9000,POST_PROCESS,leakage fail rate,0.0,percent,-10.0,10.0,PASS,WAT_CELL_08,2026-06-13T02:00:00+00:00
LOT_V2_11_CTRL_02,LOT_V2_11_CTRL_02_W01,9000,POST_PROCESS,leakage fail rate,0.0,percent,-10.0,10.0,PASS,WAT_CELL_08,2026-06-13T05:00:00+00:00
LOT_V2_12_SRC,LOT_V2_12_SRC_W01,8000,POST_PROCESS,film thickness delta,-28.0,nm,-10.0,10.0,FAIL,MET_FILM_11,2026-06-13T17:00:00+00:00
LOT_V2_12_IMP_01,LOT_V2_12_IMP_01_W01,8000,POST_PROCESS,film thickness delta,0.0,nm,-10.0,10.0,PASS,MET_FILM_11,2026-06-13T20:00:00+00:00
LOT_V2_12_IMP_02,LOT_V2_12_IMP_02_W01,8000,POST_PROCESS,film thickness delta,0.0,nm,-10.0,10.0,PASS,MET_FILM_11,2026-06-13T23:00:00+00:00
LOT_V2_12_IMP_03,LOT_V2_12_IMP_03_W01,8000,POST_PROCESS,film thickness delta,0.0,nm,-10.0,10.0,PASS,MET_FILM_11,2026-06-14T02:00:00+00:00
LOT_V2_12_CTRL_01,LOT_V2_12_CTRL_01_W01,8000,POST_PROCESS,film thickness delta,0.0,nm,-10.0,10.0,PASS,MET_FILM_11,2026-06-14T05:00:00+00:00
LOT_V2_12_CTRL_02,LOT_V2_12_CTRL_02_W01,8000,POST_PROCESS,film thickness delta,0.0,nm,-10.0,10.0,PASS,MET_FILM_11,2026-06-14T08:00:00+00:00
LOT_V2_13_SRC,LOT_V2_13_SRC_W01,6400,POST_PROCESS,endpoint extension,9.0,s,-10.0,10.0,FAIL,CMP_CU_23,2026-06-14T17:00:00+00:00
LOT_V2_13_CTRL_01,LOT_V2_13_CTRL_01_W01,6400,POST_PROCESS,endpoint extension,0.0,s,-10.0,10.0,PASS,CMP_CU_23,2026-06-14T20:00:00+00:00
LOT_V2_13_CTRL_02,LOT_V2_13_CTRL_02_W01,6400,POST_PROCESS,endpoint extension,0.0,s,-10.0,10.0,PASS,CMP_CU_23,2026-06-14T23:00:00+00:00
LOT_V2_14_SRC,LOT_V2_14_SRC_W01,9000,POST_PROCESS,contact resistance p95,18.0,ohm,-10.0,10.0,FAIL,WAT_CELL_12,2026-06-15T17:00:00+00:00
LOT_V2_14_CTRL_01,LOT_V2_14_CTRL_01_W01,9000,POST_PROCESS,contact resistance p95,0.0,ohm,-10.0,10.0,PASS,WAT_CELL_12,2026-06-15T20:00:00+00:00
LOT_V2_14_CTRL_02,LOT_V2_14_CTRL_02_W01,9000,POST_PROCESS,contact resistance p95,0.0,ohm,-10.0,10.0,PASS,WAT_CELL_12,2026-06-15T23:00:00+00:00
